plan,stratum,status,kinds,detail
0,PASS,zgodne,,
1,SHIFT,poza budżetem,,"rozpiętość 40, pętli 824"
2,HASH,zgodne,,
3,ADD,zgodne,,
4,SUB,zgodne,,
5,THETA,zgodne,,
6,NTHETA,zgodne,,
7,AGSE,zgodne,,
8,REDUCE,zgodne,,
9,HC_NONINT,zgodne,,
10,HC_SHIFT_UNDER_HASH,zgodne,,
11,HC_INT,zgodne,,
12,HC_SINGLE,zgodne,,
13,HC_DEEP,zgodne,,
14,PASS,zgodne,,
15,SHIFT,zgodne,,
16,HASH,zgodne,,
17,ADD,zgodne,,
18,SUB,zgodne,,
19,THETA,zgodne,,
20,NTHETA,zgodne,,
21,AGSE,zgodne,,
22,REDUCE,poza budżetem,,"rozpiętość 200/3, pętli 1357"
23,HC_NONINT,zgodne,,
24,HC_SHIFT_UNDER_HASH,zgodne,,
25,HC_INT,zgodne,,
26,HC_SINGLE,zgodne,,
27,HC_DEEP,zgodne,,
28,PASS,poza budżetem,,"rozpiętość 125/2, pętli 1274"
29,SHIFT,zgodne,,
30,HASH,zgodne,,
31,ADD,zgodne,,
32,SUB,zgodne,,
33,THETA,zgodne,,
34,NTHETA,zgodne,,
35,AGSE,zgodne,,
36,REDUCE,zgodne,,
37,HC_NONINT,zgodne,,
38,HC_SHIFT_UNDER_HASH,zgodne,,
39,HC_INT,zgodne,,
40,HC_SINGLE,zgodne,,
41,HC_DEEP,zgodne,,
42,PASS,zgodne,,
43,SHIFT,zgodne,,
44,HASH,zgodne,,
45,ADD,zgodne,,
46,SUB,zgodne,,
47,THETA,zgodne,,
48,NTHETA,zgodne,,
49,AGSE,zgodne,,
50,REDUCE,zgodne,,
51,HC_NONINT,zgodne,,
52,HC_SHIFT_UNDER_HASH,zgodne,,
53,HC_INT,poza budżetem,,"rozpiętość 100, pętli 2024"
54,HC_SINGLE,zgodne,,
55,HC_DEEP,zgodne,,
56,PASS,zgodne,,
57,SHIFT,zgodne,,
58,HASH,zgodne,,
59,ADD,poza budżetem,,"rozpiętość 200/3, pętli 1357"
60,SUB,zgodne,,
61,THETA,zgodne,,
62,NTHETA,zgodne,,
63,AGSE,zgodne,,
64,REDUCE,zgodne,,
65,HC_NONINT,zgodne,,
66,HC_SHIFT_UNDER_HASH,zgodne,,
67,HC_INT,zgodne,,
68,HC_SINGLE,zgodne,,
69,HC_DEEP,zgodne,,
70,PASS,zgodne,,
71,SHIFT,zgodne,,
72,HASH,zgodne,,
73,ADD,poza budżetem,,"rozpiętość 50, pętli 1024"
74,SUB,zgodne,,
75,THETA,zgodne,,
76,NTHETA,zgodne,,
77,AGSE,zgodne,,
78,REDUCE,zgodne,,
79,HC_NONINT,poza budżetem,,"rozpiętość 206/5, pętli 848"
80,HC_SHIFT_UNDER_HASH,zgodne,,
81,HC_INT,zgodne,,
82,HC_SINGLE,zgodne,,
83,HC_DEEP,poza budżetem,,"rozpiętość 225/2, pętli 2274"
84,PASS,zgodne,,
85,SHIFT,zgodne,,
86,HASH,zgodne,,
87,ADD,zgodne,,
88,SUB,zgodne,,
89,THETA,zgodne,,
90,NTHETA,zgodne,,
91,AGSE,zgodne,,
92,REDUCE,zgodne,,
93,HC_NONINT,poza budżetem,,"rozpiętość 500/9, pętli 1135"
94,HC_SHIFT_UNDER_HASH,zgodne,,
95,HC_INT,zgodne,,
96,HC_SINGLE,zgodne,,
97,HC_DEEP,zgodne,,
98,PASS,zgodne,,
99,SHIFT,zgodne,,
100,HASH,zgodne,,
101,ADD,zgodne,,
102,SUB,poza budżetem,,"rozpiętość 320, pętli 6424"
103,THETA,poza budżetem,,"rozpiętość 175/4, pętli 899"
104,NTHETA,zgodne,,
105,AGSE,poza budżetem,,"rozpiętość 50, pętli 1024"
106,REDUCE,zgodne,,
107,HC_NONINT,zgodne,,
108,HC_SHIFT_UNDER_HASH,zgodne,,
109,HC_INT,zgodne,,
110,HC_SINGLE,zgodne,,
111,HC_DEEP,poza budżetem,,"rozpiętość 379/4, pętli 1919"
